CODIGO_PROYECTO,PROGRAMA,INSTRUMENTO,ANO_FALLO,AREA_OCDE,SEXO
ER7/012,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2007,MULTIDISCIPLINARIO,MUJER
R07C1002,REGIONAL,CONTINUIDAD CENTROS REGIONALES,2007,CIENCIAS NATURALES,MUJER
11070168,FONDECYT,INICIACION,2007,CIENCIAS SOCIALES,HOMBRE
1070709,FONDECYT,REGULAR,2007,CIENCIAS SOCIALES,HOMBRE
R07K1002,REGIONAL,CAPITAL HUMANO AVANZADO CENTROS,2007,CIENCIAS NATURALES,HOMBRE
R07E1003,REGIONAL,EQUIPAMIENTO,2007,CIENCIAS NATURALES,HOMBRE
ED12/046,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2008,CIENCIAS NATURALES,HOMBRE
EC9/045,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2008,SIN INFORMACION,HOMBRE
ED13/032,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2008,CIENCIAS NATURALES,HOMBRE
EC9/025,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2008,SIN INFORMACION,HOMBRE
ER8/011,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2008,MULTIDISCIPLINARIO,HOMBRE
EC9/028,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2008,SIN INFORMACION,HOMBRE
100/121/VI-2008-176,PCI,REDES INTERNACIONALES - PROGRAMA DE APOYO A LA FORMACION DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACION,2008,CIENCIAS NATURALES,HOMBRE
ED13/038,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2008,CIENCIAS SOCIALES,HOMBRE
EC9/026,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2008,SIN INFORMACION,HOMBRE
EC9/040,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2008,SIN INFORMACION,HOMBRE
ED13/068,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2008,CIENCIAS NATURALES,MUJER
1080320,FONDECYT,REGULAR,2008,CIENCIAS NATURALES,HOMBRE
1085329,FONDECYT,REGULAR,2008,CIENCIAS SOCIALES,HOMBRE
11080223,FONDECYT,INICIACION,2008,CIENCIAS NATURALES,HOMBRE
ER8/012,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2008,MULTIDISCIPLINARIO,MUJER
1080548,FONDECYT,REGULAR,2008,CIENCIAS NATURALES,HOMBRE
1085204,FONDECYT,REGULAR,2008,HUMANIDADES,HOMBRE
D07I1118,FONDEF,INVESTIGACION Y DESARROLLO,2008,CIENCIAS AGRICOLAS,HOMBRE
1080485,FONDECYT,REGULAR,2008,CIENCIAS NATURALES,HOMBRE
EQU-03,REGIONAL,EQUIPAMIENTO,2008,SIN INFORMACION,SIN INFORMACION
7080233,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,2008,CIENCIAS SOCIALES,HOMBRE
11090208,FONDECYT,INICIACION,2009,CIENCIAS NATURALES,HOMBRE
D08I1163,FONDEF,INVESTIGACION Y DESARROLLO,2009,CIENCIAS NATURALES,HOMBRE
EC10/026,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2009,CIENCIAS NATURALES,HOMBRE
EC10/023,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2009,INGENIERIA Y TECNOLOGIA,HOMBRE
ERF09/011,EXPLORA,FORTALECIMIENTO DE EXPLORA REGIONAL,2009,SIN INFORMACION,HOMBRE
ER9/011,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2009,MULTIDISCIPLINARIO,HOMBRE
DIP-29,REGIONAL,DIPLOMADOS CTI,2009,CIENCIAS SOCIALES,SIN INFORMACION
